Hour;Number generated passengers;Number served passengers;Average wait time;Average squared wait time;Average ride time;Wait times over 60 sec;Number of up travels;Number of down travels;Number of interfloor travels
0;22;22;8.966363636;82.16595455;16.99227273;0;19;3;0
1;4;4;6.91;63.6181;19.585;0;3;1;0
2;3;3;9.21;84.82410001;17.71;0;2;1;0
3;5;5;6.77;57.7073;15.01;0;1;4;0
4;14;13;8.289230768;95.75747691;16.45769231;0;3;10;1
5;84;84;11.76773809;231.0459892;18.13630952;0;2;76;6
6;190;188;17.95526595;575.0431312;19.80324468;2.659574468;2;182;6
7;304;302;20.65337748;709.0888269;21.25678808;3.311258278;16;269;19
8;311;315;22.52838095;849.2015026;21.75568254;6.031746032;27;260;24
9;183;182;15.04274725;399.063254;18.61681319;1.098901099;32;145;6
10;158;155;14.33625807;360.037355;18.97393549;1.935483871;53;100;5
11;138;140;17.41985715;499.8152716;19.43964286;0;57;77;4
12;101;104;12.17230769;231.4546886;19.30432693;0;48;50;3
13;84;83;10.42819277;191.4699278;17.90240964;0;39;43;2
14;70;69;12.8057971;302.3389943;21.06536232;0;42;26;2
15;146;146;17.84780822;544.1252893;21.76890411;2.739726027;85;60;1
16;229;228;27.18513158;1280.882281;24.75333334;10.0877193;149;74;6
17;303;300;34.94413334;1910.357831;30.31530001;20.33333333;218;81;4
18;250;252;25.79035713;1078.968487;24.34825396;7.53968254;167;78;5
19;130;134;22.0686567;956.98089;21.75902984;6.71641791;98;28;4
20;63;62;12.59758064;337.3754045;19.12193547;1.612903226;34;29;0
21;42;43;12.1144186;229.6547625;18.14674418;0;31;10;1
22;47;47;12.4768085;269.8535593;19.62489361;2.127659574;39;7;1
23;31;31;10.69677419;159.1206837;17.05161289;0;23;8;0
